Data_Year,Age_Group,Specimen_ID,Resistance_Pattern,AMI_Concl,AMP_Concl,ATM_Concl,AUG_Concl,AXO_Concl,AZM_Concl,CAZ_Concl,CCV_Concl,CEP_Concl,CEQ_Concl,CHL_Concl,CIP_Concl,CLI_Concl,COT_Concl,CTC_Concl,CTX_Concl,ERY_Concl,FEP_Concl,FFN_Concl,FIS_Concl,FOX_Concl,GEN_Concl,IMI_Concl,KAN_Concl,NAL_Concl,PTZ_Concl,SMX_Concl,STR_Concl,TEL_Concl,TET_Concl,TIO_Concl
1996,0-4,46,25,0,19,0,0,0,0,0,0,3,0,9,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,13,13,0,19,0
1996,10-19,21,7,0,5,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,5,2,0,5,0
1996,20-29,34,10,0,6,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,3,0,9,1
1996,30-39,36,13,0,9,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,7,9,0,10,0
1996,40-49,16,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0
1996,5-9,20,9,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,4,3,0,6,0
1996,50-59,12,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0
1996,60-69,10,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0
1996,70-79,18,7,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,6,0,7,0
1996,80+,11,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0
1997,0-4,47,25,0,18,0,0,0,0,0,0,3,0,9,0,0,1,0,0,0,0,0,0,0,2,0,6,0,0,19,18,0,18,0
1997,10-19,20,6,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,5,5,0,4,0
1997,20-29,34,6,0,4,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,3,3,0,6,0
1997,30-39,26,10,0,6,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,7,6,0,7,0
1997,40-49,10,7,0,4,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,5,0
1997,5-9,13,6,0,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,4,0,5,0
1997,50-59,18,8,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,6,0,6,0
1997,60-69,10,6,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,0,5,0
1997,70-79,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,0
1997,80+,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0-4,48,18,0,13,0,3,1,0,0,0,3,0,5,0,0,2,0,0,0,0,0,0,1,3,0,2,0,0,12,14,0,13,1
1998,10-19,30,7,0,6,0,1,1,0,0,0,3,0,4,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,5,5,0,4,1
1998,20-29,22,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,0
1998,30-39,24,8,0,5,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,6,6,0,6,1
1998,40-49,19,6,0,4,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,5,6,0,4,0
1998,5-9,15,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0
1998,50-59,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
1998,60-69,15,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
1998,70-79,12,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,3,0
1998,80+,6,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,3,0
1999,0-4,45,13,0,10,0,1,1,0,0,0,3,0,4,0,0,1,0,0,0,0,0,0,0,1,0,3,2,0,9,7,0,7,1
1999,10-19,14,7,0,5,0,3,3,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,6,0,6,3
1999,20-29,40,11,0,9,0,0,0,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,1,0,4,2,0,7,6,0,7,0
1999,30-39,34,13,0,8,0,2,2,0,0,0,2,0,4,0,0,3,0,0,0,0,0,0,0,3,0,3,2,0,7,8,0,10,2
1999,40-49,17,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,3,0
1999,5-9,15,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0
1999,50-59,13,5,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,4,0
1999,60-69,9,4,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0
1999,70-79,6,3,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,0,2,0
1999,80+,8,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0
2000,0-4,43,13,0,8,0,4,3,0,0,0,4,0,6,1,0,1,0,0,0,0,0,0,3,2,0,3,4,0,11,10,0,11,3
2000,10-19,21,6,0,4,0,1,1,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,1,0,0,1,1,0,4,4,0,3,1
2000,20-29,32,12,0,7,0,2,2,0,0,0,5,0,4,0,0,1,0,0,0,0,0,0,2,1,0,2,5,0,5,5,0,6,2
2000,30-39,22,5,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,3,0,4,4,0,4,0
2000,40-49,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
2000,5-9,20,5,0,5,0,1,1,0,0,0,1,0,5,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,5,5,0,5,1
2000,50-59,17,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,3,0
2000,60-69,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,70-79,7,2,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,1
2000,80+,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
